Model,AUC-ROC,F1,Accuracy,Precision,Recall
Logistic Regression,0.9479768786127167,0.36363636363636365,0.88268156424581,0.2222222222222222,1.0
Random Forest,0.9499036608863198,0.3333333333333333,0.9106145251396648,0.2222222222222222,0.6666666666666666
XGBoost,0.9489402697495184,0.25,0.9329608938547486,0.2,0.3333333333333333
Neural Network,0.9219653179190751,0.47058823529411764,0.9497206703910615,0.36363636363636365,0.6666666666666666
